Sport,Event,Gender,Medal_Date,disc_html,evt_html,Entries,NOCs,Gold,G_NOC,Silver,S_NOC,Bronze,B_NOC,Bronze2,B2_NOC,Gold2,G2_NOC
Weightlifting,Flyweight Powerlift,Women,7/24/21,weightlifting,women-s-55kg,14,14,DIAZ Hidilyn,PHI,LIAO Qiuyun,CHN,CHINSHANLO Zulfiya,KAZ,nan,nan,nan,nan
Weightlifting,Lightweight Powerlift,Women,7/27/21,weightlifting,women-s-59kg,14,14,CKUO Hsing-Chun,TPE,GURYEVA Polina,TKM,ANDOH Mikiko,JPN,nan,nan,nan,nan
Weightlifting,Middleweight Powerlift,Women,7/27/21,weightlifting,women-s-64kg,14,14,GCHARRON Maude G,CAN,BORDIGNON Giorgia,ITA,HCHEN Wen-Huei,TPE,nan,nan,nan,nan
Weightlifting,Light-Heavyweight Powerlift,Women,8/1/21,weightlifting,women-s-76kg,13,13,ARRERA NPDAJOMES BARRERA Neisi Patricia,ECU,ENYE Katherine Elizabeth,USA,AVALA AFUENTES ZAVALA Aremi,MEX,nan,nan,nan,nan
Weightlifting,Heavyweight Powerlift,Women,8/2/21,weightlifting,women-s-87kg,13,13,WANG Zhouyu,CHN,RCE TYSALAZAR ARCE Tamara Yajaira,ECU,EGUERO CDSANTANA PEGUERO Crismery Dominga,DOM,nan,nan,nan,nan
Wrestling,Super-Heavyweight Freestyle,Men,8/6/21,wrestling,men-s-freestyle-125kg,16,16,DSTEVESON Gable Dan,USA,PETRIASHVILI Geno,GEO,HZARE Amir Hossein,IRI,AKGUL Taha,TUR,nan,nan
Wrestling,Featherweight Freestyle,Men,8/5/21,wrestling,men-s-freestyle-57kg,16,16,UGUEV Zavur,ROC,RAVI Kumar,IND,SANAYEV Nurislam,KAZ,PGILMAN Thomas Patrick,USA,nan,nan
Wrestling,Welterweight Freestyle,Men,8/7/21,wrestling,men-s-freestyle-65kg,16,16,OTOGURO Takuto,JPN,ALIYEV Haji,AZE,RASHIDOV Gadzhimurad,ROC,BAJRANG Bajrang,IND,nan,nan
Wrestling,Middleweight Freestyle,Men,8/6/21,wrestling,men-s-freestyle-74kg,16,16,SIDAKOV Zaurbek,ROC,KADZIMAHAMEDAU Mahamedkhabib,BLR,DDAKE Kyle Douglas,USA,ABDURAKHMONOV Bekzod,UZB,nan,nan
Wrestling,Light-Heavyweight Freestyle,Men,8/5/21,wrestling,men-s-freestyle-86kg,16,16,II DMTAYLOR III David Morris,USA,YAZDANICHARATI Hassan,IRI,NAIFONOV Artur,ROC,NAMINE Myles Nazem,SMR,nan,nan
Wrestling,Heavyweight Freestyle,Men,8/7/21,wrestling,men-s-freestyle-97kg,15,15,SADULAEV Abdulrashid,ROC,FSNYDER Kyle Frederick,USA,EREZ RSALAS PEREZ Reineris,CUB,UANO ADJCONYEDO RUANO Abraham de Jesus,ITA,nan,nan
Wrestling,Super-Heavyweight Greco-Roman,Men,8/2/21,wrestling,men-s-greco-roman-130kg,16,16,UNEZ MLOPEZ NUNEZ Mijain,CUB,KAJAIA Iakobi,GEO,KAYAALP Riza,TUR,SEMENOV Sergei,ROC,nan,nan
Wrestling,Featherweight Greco-Roman,Men,8/2/21,wrestling,men-s-greco-roman-60kg,16,16,ANCHEZ LAORTA SANCHEZ Luis Alberto,CUB,FUMITA Kenichiro,JPN,WALIHAN Sailike,CHN,EMELIN Sergey,ROC,nan,nan
Wrestling,Welterweight Greco-Roman,Men,8/4/21,wrestling,men-s-greco-roman-67kg,17,17,GERAEI Mohammadreza,IRI,NASIBOV Parviz,UKR,STAEBLER Frank,GER,IEELSAYED Mohamed Ibrahim Elsayed,EGY,nan,nan
Wrestling,Middleweight Greco-Roman,Men,8/3/21,wrestling,men-s-greco-roman-77kg,15,15,LORINCZ Tamas,HUN,MAKHMUDOV Akzhol,KGZ,YABIKU Shohei,JPN,HUSEYNOV Rafig,AZE,nan,nan
Wrestling,Light-Heavyweight Greco-Roman,Men,8/4/21,wrestling,men-s-greco-roman-87kg,16,16,BELENIUK Zhan,UKR,LORINCZ Viktor,HUN,MKUDLA Denis Maksymilian,GER,DATUNASHVILI Zurabi,SRB,nan,nan
Wrestling,Heavyweight Greco-Roman,Men,8/3/21,wrestling,men-s-greco-roman-97kg,16,16,EVLOEV Musa,ROC,ALEKSANYAN Artur,ARM,MICHALIK Tadeusz,POL,SARAVI Mohammadhadi,IRI,nan,nan
Wrestling,Flyweight Freestyle,Women,8/7/21,wrestling,women-s-freestyle-50kg,16,16,SUSAKI Yui,JPN,SUN Yanan,CHN,STADNIK Mariya,AZE,AHILDEBRANDT Sarah Ann,USA,nan,nan
Wrestling,Featherweight Freestyle,Women,8/6/21,wrestling,women-s-freestyle-53kg,16,16,MUKAIDA Mayu,JPN,PANG Qianyu,CHN,KALADZINSKAYA Vanesa,BLR,CHIR BBAT OCHIR Bolortuya,MGL,nan,nan
Wrestling,Lightweight Freestyle,Women,8/5/21,wrestling,women-s-freestyle-57kg,16,16,KAWAI Risako,JPN,KURACHKINA Iryna,BLR,LMAROULIS Helen Louise,USA,GNIKOLOVA Evelina Georgieva,BUL,nan,nan
Wrestling,Middleweight Freestyle,Women,8/4/21,wrestling,women-s-freestyle-62kg,16,16,KAWAI Yukako,JPN,TYNYBEKOVA Aisuluu,KGZ,KOLIADENKO Iryna,UKR,MYUSEIN Taybe Mustafa,BUL,nan,nan
Wrestling,Light-Heavyweight Freestyle,Women,8/3/21,wrestling,women-s-freestyle-68kg,16,16,TOCK TMMENSAH STOCK Tamyra Mariama,USA,OBORUDUDU Blessing,NGR,CHERKASOVA Alla,UKR,ZHUMANAZAROVA Meerim,KGZ,nan,nan
Wrestling,Heavyweight Freestyle,Women,8/2/21,wrestling,women-s-freestyle-76kg,16,16,OCKEN AROTTER FOCKEN Aline,GER,MGRAY Adeline Maria,USA,ADAR Yasemin,TUR,ZHOU Qian,CHN,nan,nan
